"x","y","z","t","class"
-0.5171,0.442,-1.5347,2021-12-24 16:32:11,1
0.3502,0.2621,-1.7397,2021-12-24 16:32:12,1
0.8612,0.7925,-0.0274,2021-12-24 16:32:13,1
-0.2326,0.3111,-0.9449,2021-12-24 16:32:14,1
0.2402,-0.1161,2.1598,2021-12-24 16:32:15,1
-0.2016,0.5746,-0.6297,2021-12-24 16:32:16,1
-0.3278,0.1598,0.8087,2021-12-24 16:32:17,1
0.3884,0.2228,0.1267,2021-12-24 16:32:18,1
0.6279,-0.5601,0.259,2021-12-24 16:32:19,1
0.0023,-1.9562,2.6793,2021-12-24 16:32:20,1
-0.6489,-0.1727,-0.4785,2021-12-24 16:32:21,1
0.6987,0.2024,-1.1839,2021-12-24 16:32:22,1
-1.0093,-1.8133,1.0937,2021-12-24 16:32:23,1
-1.8189,0.5615,0.0847,2021-12-24 16:32:24,1
-1.4212,-0.3941,0.6288,2021-12-24 16:32:25,1
0.9313,-1.8423,0.8371,2021-12-24 16:32:26,1
0.7066,1.3626,-0.4563,2021-12-24 16:32:27,1
3.3324,-2.2019,1.7667,2021-12-24 16:32:28,1
-0.6841,0.7249,-1.3154,2021-12-24 16:32:29,1
-0.0972,-0.0388,0.3561,2021-12-24 16:32:30,1
-0.8896,0.1456,0.6728,2021-12-24 16:32:31,1
0.0464,-0.2613,0.4026,2021-12-24 16:32:32,1
-0.3033,0.0873,0.1768,2021-12-24 16:32:33,1
0.3009,0.3848,-0.7253,2021-12-24 16:32:34,1
0.4551,-0.4064,-0.4005,2021-12-24 16:32:35,1
-1.4205,-0.4494,-0.3748,2021-12-24 16:32:36,1
-0.6831,-0.224,-0.0307,2021-12-24 16:32:37,1
0.0401,-0.4194,-1.1178,2021-12-24 16:32:38,1
0.5276,0.7708,-0.5402,2021-12-24 16:32:39,1
0.3183,1.7941,1.2867,2021-12-24 16:32:40,1
0.3524,0.851,0.6627,2021-12-24 16:32:41,1
-0.9361,0.4283,0.1576,2021-12-24 16:32:42,1
-1.7507,-0.7752,0.9655,2021-12-24 16:32:43,1
1.1672,0.7478,-0.3792,2021-12-24 16:32:44,1
0.5835,0.298,-0.00970000000000004,2021-12-24 16:32:45,1
