"","x","y","z","t","class"
"294",2.7502,-8.3248,1.4832,2021-12-18 13:57:32,2
"295",2.7502,-8.3248,1.4832,2021-12-18 13:57:33,2
"296",2.7502,-8.3248,1.4832,2021-12-18 13:57:34,2
"297",2.7502,-8.3248,1.4832,2021-12-18 13:57:35,2
"298",2.7502,-8.3248,1.4832,2021-12-18 13:57:36,2
"299",2.7502,-8.3248,1.4832,2021-12-18 13:57:37,2
"300",2.7502,-8.3248,1.4832,2021-12-18 13:57:38,2
"301",2.7502,-8.3248,1.4832,2021-12-18 13:57:39,2
"302",2.7502,-8.3248,1.4832,2021-12-18 13:57:40,2
"303",2.7502,-8.3248,1.4832,2021-12-18 13:57:41,2
"304",2.7502,-8.3248,1.4832,2021-12-18 13:57:42,2
"305",2.7502,-8.3248,1.4832,2021-12-18 13:57:43,2
"306",2.7502,-8.3248,1.4832,2021-12-18 13:57:44,2
"307",2.7502,-8.3248,1.4832,2021-12-18 13:57:45,2
"308",2.7502,-8.3248,1.4832,2021-12-18 13:57:46,2
"309",2.7502,-8.3248,1.4832,2021-12-18 13:57:47,2
"310",2.7502,-8.3248,1.4832,2021-12-18 13:57:48,2
"311",2.7502,-8.3248,1.4832,2021-12-18 13:57:49,2
"312",2.7502,-8.3248,1.4832,2021-12-18 13:57:50,2
"313",2.7502,-8.3248,1.4832,2021-12-18 13:57:51,2
"314",2.7502,-8.3248,1.4832,2021-12-18 13:57:52,2
"315",2.7502,-8.3248,1.4832,2021-12-18 13:57:53,2
"316",2.7502,-8.3248,1.4832,2021-12-18 13:57:54,2
"317",2.7502,-8.3248,1.4832,2021-12-18 13:57:55,2
"318",2.7502,-8.3248,1.4832,2021-12-18 13:57:56,2
"319",2.7502,-8.3248,1.4832,2021-12-18 13:57:57,2
"320",2.7502,-8.3248,1.4832,2021-12-18 13:57:58,2
"321",2.7502,-8.3248,1.4832,2021-12-18 13:57:59,2
"322",2.7502,-8.3248,1.4832,2021-12-18 13:58:00,2
"323",2.7502,-8.3248,1.4832,2021-12-18 13:58:01,2
"324",2.7502,-8.3248,1.4832,2021-12-18 13:58:02,2
"325",2.7502,-8.3248,1.4832,2021-12-18 13:58:03,2
"326",2.7502,-8.3248,1.4832,2021-12-18 13:58:04,2
"327",2.7502,-8.3248,1.4832,2021-12-18 13:58:05,2
"328",2.7502,-8.3248,1.4832,2021-12-18 13:58:06,2
"329",2.7502,-8.3248,1.4832,2021-12-18 13:58:07,2
"330",2.7502,-8.3248,1.4832,2021-12-18 13:58:08,2
"331",2.7502,-8.3248,1.4832,2021-12-18 13:58:09,2
"332",2.7502,-8.3248,1.4832,2021-12-18 13:58:10,2
"333",2.7502,-8.3248,1.4832,2021-12-18 13:58:11,2
"334",2.7502,-8.3248,1.4832,2021-12-18 13:58:12,2
"335",2.7502,-8.3248,1.4832,2021-12-18 13:58:13,2
"336",2.7502,-8.3248,1.4832,2021-12-18 13:58:14,2
"337",2.7502,-8.3248,1.4832,2021-12-18 13:58:15,2
"338",2.7502,-8.3248,1.4832,2021-12-18 13:58:16,2
"339",2.7502,-8.3248,1.4832,2021-12-18 13:58:17,2
"340",2.7502,-8.3248,1.4832,2021-12-18 13:58:18,2
"341",2.7502,-8.3248,1.4832,2021-12-18 13:58:19,2
"342",2.7502,-8.3248,1.4832,2021-12-18 13:58:20,2
"343",2.7502,-8.3248,1.4832,2021-12-18 13:58:21,2
"344",2.7502,-8.3248,1.4832,2021-12-18 13:58:22,2
"345",2.7502,-8.3248,1.4832,2021-12-18 13:58:23,2
"346",2.7502,-8.3248,1.4832,2021-12-18 13:58:24,2
"347",2.7502,-8.3248,1.4832,2021-12-18 13:58:25,2
"348",2.7502,-8.3248,1.4832,2021-12-18 13:58:26,2
"349",2.7502,-8.3248,1.4832,2021-12-18 13:58:27,2
"350",2.7502,-8.3248,1.4832,2021-12-18 13:58:28,2
"351",2.7502,-8.3248,1.4832,2021-12-18 13:58:29,2
"352",2.7502,-8.3248,1.4832,2021-12-18 13:58:30,2
"353",2.7502,-8.3248,1.4832,2021-12-18 13:58:31,2
"354",2.7502,-8.3248,1.4832,2021-12-18 13:58:32,2
"355",2.7502,-8.3248,1.4832,2021-12-18 13:58:33,2
"356",2.7502,-8.3248,1.4832,2021-12-18 13:58:34,2
"357",2.7502,-8.3248,1.4832,2021-12-18 13:58:35,2
"358",2.7502,-8.3248,1.4832,2021-12-18 13:58:36,2
"359",2.7502,-8.3248,1.4832,2021-12-18 13:58:37,2
"360",2.7502,-8.3248,1.4832,2021-12-18 13:58:38,2
"361",4.1253,-12.4872,2.2248,2021-12-18 13:58:39,2
"362",2.7502,-8.3248,1.4832,2021-12-18 13:58:40,2
"363",2.7502,-8.3248,1.4832,2021-12-18 13:58:41,2
"364",2.7502,-8.3248,1.4832,2021-12-18 13:58:42,2
"365",2.7502,-8.3248,1.4832,2021-12-18 13:58:43,2
"366",2.7502,-8.3248,1.4832,2021-12-18 13:58:44,2
"367",2.7502,-8.3248,1.4832,2021-12-18 13:58:45,2
"368",2.7502,-8.3248,1.4832,2021-12-18 13:58:46,2
"369",2.7502,-8.3248,1.4832,2021-12-18 13:58:47,2
"370",2.7502,-8.3248,1.4832,2021-12-18 13:58:48,2
"371",2.7502,-8.3248,1.4832,2021-12-18 13:58:49,2
"372",2.7502,-8.3248,1.4832,2021-12-18 13:58:50,2
"373",2.7502,-8.3248,1.4832,2021-12-18 13:58:51,2
"374",2.7502,-8.3248,1.4832,2021-12-18 13:58:52,2
"375",2.7502,-8.3248,1.4832,2021-12-18 13:58:53,2
"376",2.7502,-8.3248,1.4832,2021-12-18 13:58:54,2
"377",1.3751,-4.1624,0.7416,2021-12-18 13:58:55,2
"378",5.5004,-16.6496,2.9664,2021-12-18 13:58:56,2
"379",2.7502,-8.3248,1.4832,2021-12-18 13:58:57,2
"380",2.7502,-8.3248,1.4832,2021-12-18 13:58:58,2
"381",4.1253,-12.4872,2.2248,2021-12-18 13:58:59,2
"382",2.7502,-8.3248,1.4832,2021-12-18 13:59:00,2
"383",2.7502,-8.3248,1.4832,2021-12-18 13:59:01,2
"384",2.7502,-8.3248,1.4832,2021-12-18 13:59:02,2
"385",2.7502,-8.3248,1.4832,2021-12-18 13:59:03,2
"386",2.7502,-8.3248,1.4832,2021-12-18 13:59:04,2
"387",4.1253,-12.4872,2.2248,2021-12-18 13:59:05,2
