sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.046;-1.701;12.092;-0.2022;1.5043;9.6885;-1.0076;0.2292;-4.566;-23.46;-5.34;-41.46;86.25;-9.29;1.54;5.0;;;;NaN;;;;0 / 0;511529;2022-01-06 16:27:44:142
-1.8859;2.415;16.161;-0.1286;2.1928;9.5575;1.8186;-0.2409;-6.5904;-22.74;-12.06;-39.9;98.21;-12.15;-0.42;5.0;;;;NaN;;;;0 / 0;512029;2022-01-06 16:27:44:642
-0.435;4.988;15.747;0.3192;4.2181;8.8474;-0.7807;-2.3192;-2.5661;-25.5;-20.29;-33.41;110.11;-16.92;1.02;5.0;;;;NaN;;;;0 / 0;512529;2022-01-06 16:27:45:142
-1.2941;7.65;8.772;-0.0492;4.9125;8.4874;1.1823;-2.6545;-0.328;-22.5;-23.1;-32.81;97.1;-29.14;-0.39;5.0;;;;NaN;;;;0 / 0;513029;2022-01-06 16:27:45:642
1.539;3.8291;10.328;-0.5766;4.8551;8.501;-0.4643;1.2228;-4.8164;-24.41;-18.0;-35.64;93.22;-29.33;5.62;5.0;;;;NaN;;;;0 / 0;513529;2022-01-06 16:27:46:142
-2.4791;1.199;14.7491;0.2789;2.7181;9.4183;2.7578;1.5195;-5.3189;-20.81;-7.69;-41.16;75.14;-16.96;-4.32;5.0;;;;NaN;;;;0 / 0;514030;2022-01-06 16:27:46:643
0.107;1.3331;15.759;-0.3592;2.0516;9.5829;-0.7875;-0.999;-0.1967;-25.74;-10.01;-39.66;99.35;-7.86;3.23;5.0;;;;NaN;;;;0 / 0;514530;2022-01-06 16:27:47:143
-1.867;1.491;16.844;0.0556;1.7312;9.6525;0.8023;-0.8731;-0.0435;-23.34;-8.04;-40.5;93.09;-9.51;-1.69;5.0;;;;NaN;;;;0 / 0;515030;2022-01-06 16:27:47:643
-0.373;1.737;12.8411;-0.353;1.7287;9.6466;0.0342;-0.0508;-3.1743;-25.26;-8.94;-39.96;95.99;-9.01;1.62;5.0;;;;NaN;;;;0 / 0;515530;2022-01-06 16:27:48:143
-0.3319;2.4701;14.1941;0.0428;1.3961;9.7067;2.728;-0.5267;-0.628;-21.54;-8.04;-41.89;97.89;-6.86;-2.14;5.0;;;;NaN;;;;0 / 0;516029;2022-01-06 16:27:48:642
-0.0551;1.833;11.609;-0.4611;0.8422;9.7595;-0.1648;-0.5206;1.9637;-24.11;-4.69;-41.04;92.6;-5.48;2.95;5.0;;;;NaN;;;;0 / 0;516530;2022-01-06 16:27:49:143
-0.2321;1.8641;9.737;0.8312;1.1063;9.7085;1.0791;-0.6342;-0.0312;-25.31;-5.34;-40.44;90.62;-6.48;-4.89;5.0;;;;NaN;;;;0 / 0;517030;2022-01-06 16:27:49:643
0.5861;2.618;12.32;0.0041;1.3672;9.7109;0.0586;-1.3433;-0.0549;-24.84;-4.99;-41.46;92.27;-5.66;1.17;5.0;;;;NaN;;;;0 / 0;517529;2022-01-06 16:27:50:142
0.8921;3.2861;8.1281;0.6001;1.099;9.7264;0.0791;-1.7331;0.2453;-25.14;-6.54;-39.6;98.11;-5.2;-3.42;5.0;;;;NaN;;;;0 / 0;518029;2022-01-06 16:27:50:642
0.0551;2.721;7.9781;-0.3745;1.1989;9.7259;-0.4567;-0.9802;3.7071;-23.64;-6.6;-40.99;94.59;-7.02;2.21;5.0;;;;NaN;;;;0 / 0;518529;2022-01-06 16:27:51:142
-0.552;2.001;6.417;0.2786;1.1842;9.7309;0.5918;-1.1858;2.1035;-24.3;-7.26;-40.56;94.11;-7.38;-1.94;5.0;;;;NaN;;;;0 / 0;519029;2022-01-06 16:27:51:642
-0.2599;2.4;7.8581;-0.364;1.1949;9.7268;-0.4176;-0.3569;4.0998;-23.46;-7.31;-41.51;93.66;-7.5;2.11;5.0;;;;NaN;;;;0 / 0;519530;2022-01-06 16:27:52:143
-0.813;1.802;4.413;0.2992;0.8581;9.7645;1.5659;-0.5176;5.692;-21.9;-8.46;-41.94;97.05;-6.96;0.12;5.0;;;;NaN;;;;0 / 0;520029;2022-01-06 16:27:52:642
0.596;1.8311;5.859;-1.1798;1.2446;9.6555;-1.0092;1.3954;3.9217;-21.6;-8.81;-41.76;98.4;-7.29;6.97;5.0;;;;NaN;;;;0 / 0;520530;2022-01-06 16:27:53:143
-0.114;1.4621;4.923;-0.2944;0.5545;9.7865;-0.1854;-0.9029;4.8696;-20.7;-8.16;-42.24;101.57;-4.58;2.77;5.0;;;;NaN;;;;0 / 0;521029;2022-01-06 16:27:53:642
-0.765;0.521;4.145;-1.229;0.7225;9.7025;-0.0506;1.1636;2.9676;-20.16;-8.1;-42.49;99.2;-5.77;6.54;5.0;;;;NaN;;;;0 / 0;521529;2022-01-06 16:27:54:142
0.4181;1.431;5.5121;0.0256;0.5609;9.7906;-1.1072;-0.7821;3.5874;-22.2;-5.29;-42.71;92.4;-5.44;2.85;5.0;;;;NaN;;;;0 / 0;522029;2022-01-06 16:27:54:642
0.021;0.356;4.626;-1.1889;0.8064;9.7009;-0.8695;0.5663;4.0704;-20.1;-5.89;-43.69;95.86;-4.72;6.99;5.0;;;;NaN;;;;0 / 0;522529;2022-01-06 16:27:55:142
-0.3491;1.196;6.831;-0.3896;0.66;9.7767;0.414;-0.5114;4.3285;-20.1;-4.74;-43.86;91.59;-5.82;2.55;5.0;;;;NaN;;;;0 / 0;523030;2022-01-06 16:27:55:643
-1.438;-0.493;8.418;-1.2726;1.2777;9.6394;0.3676;1.7042;-1.3631;-19.31;-8.1;-43.26;95.31;-9.24;4.86;5.0;;;;NaN;;;;0 / 0;523529;2022-01-06 16:27:56:142
1.7921;1.6031;8.0681;-0.7334;1.1842;9.7072;0.438;3.3635;0.5271;-22.61;-3.96;-42.66;85.6;-8.49;5.16;5.0;;;;NaN;;;;0 / 0;524030;2022-01-06 16:27:56:643
-0.356;0.011;9.7061;-0.8296;1.2057;9.6968;2.881;1.8574;3.2681;-19.91;-5.1;-43.14;89.77;-7.06;4.89;5.0;;;;NaN;;;;0 / 0;524529;2022-01-06 16:27:57:142
-1.555;-2.625;10.074;-0.7361;1.0801;9.7192;1.5634;4.2147;-3.2741;-22.56;-2.4;-43.01;84.45;-6.32;4.33;5.0;;;;NaN;;;;0 / 0;525030;2022-01-06 16:27:57:643
-1.776;-0.8179;12.2051;-0.4557;1.808;9.6278;2.3637;1.6445;-1.8678;-21.49;-5.21;-42.84;82.0;-10.94;1.7;5.0;;;;NaN;;;;0 / 0;525529;2022-01-06 16:27:58:142
-1.17;-2.5579;12.5831;0.095;1.2114;9.7311;1.2528;3.7584;-2.8405;-26.4;-1.2;-41.21;81.16;-7.43;1.58;5.0;;;;NaN;;;;0 / 0;526029;2022-01-06 16:27:58:642
-0.469;0.639;7.7291;-0.2548;1.1601;9.7345;1.295;1.0109;-1.9381;-22.39;-5.29;-42.84;89.87;-6.79;1.5;5.0;;;;NaN;;;;0 / 0;526529;2022-01-06 16:27:59:142
-0.4541;-1.5101;17.4131;-0.3788;1.3766;9.7022;-1.8347;-0.8417;-0.4944;-23.04;-4.26;-42.36;87.31;-7.26;2.98;5.0;;;;NaN;;;;0 / 0;527029;2022-01-06 16:27:59:642
-3.4849;-0.6791;10.9841;-0.7996;1.5267;9.654;0.3581;-1.9737;-0.3161;-21.0;-7.14;-42.79;92.49;-8.15;3.57;5.0;;;;NaN;;;;0 / 0;527529;2022-01-06 16:28:00:142
1.907;0.495;15.17;-0.8643;1.4176;9.6651;-2.5353;-0.5799;-0.7953;-22.99;-4.5;-42.24;88.55;-6.64;6.0;5.0;;;;NaN;;;;0 / 0;528029;2022-01-06 16:28:00:642
-4.322;-1.718;16.0421;-1.1079;1.5251;9.6238;-0.6448;-0.3136;-3.6833;-19.26;-7.01;-43.39;91.47;-8.95;6.57;5.0;;;;NaN;;;;0 / 0;528529;2022-01-06 16:28:01:142
0.8951;2.3861;11.037;-1.2416;1.3168;9.6382;-0.908;-1.056;-0.5118;-21.11;-5.89;-42.41;91.56;-7.72;7.34;5.0;;;;NaN;;;;0 / 0;529029;2022-01-06 16:28:01:642
-1.5791;2.252;13.4471;-1.6333;1.2992;9.582;-0.3258;-1.6837;0.5517;-18.49;-7.44;-43.61;103.26;-2.03;5.84;5.0;;;;NaN;;;;0 / 0;529529;2022-01-06 16:28:02:142
-2.003;0.639;15.168;-1.1103;1.3124;9.6548;-1.8627;-0.6049;-3.6674;-22.2;-3.54;-42.41;90.44;-4.15;10.87;5.0;;;;NaN;;;;0 / 0;530029;2022-01-06 16:28:02:642
-2.7349;1.3331;12.5111;-0.7424;0.9163;9.7355;2.4537;0.1637;-3.874;-18.79;-5.34;-43.74;92.6;-5.36;4.36;5.0;;;;NaN;;;;0 / 0;530529;2022-01-06 16:28:03:142
0.227;1.871;9.821;-1.0015;0.8021;9.7223;-0.469;-1.0576;1.4224;-18.84;-7.09;-42.54;98.87;-4.69;5.88;5.0;;;;NaN;;;;0 / 0;531030;2022-01-06 16:28:03:643
-2.6951;0.9521;10.517;-0.6284;1.3129;9.698;-0.1653;-1.9696;-4.1402;-17.94;-9.84;-42.19;102.16;-7.69;3.71;5.0;;;;NaN;;;;0 / 0;531529;2022-01-06 16:28:04:142
0.792;2.75;10.74;-0.7288;1.4167;9.6764;-1.6822;-2.1519;1.3135;-21.36;-6.06;-41.16;90.73;-8.28;4.9;5.0;;;;NaN;;;;0 / 0;532029;2022-01-06 16:28:04:642
0.32;1.103;5.732;-0.0595;1.5286;9.6866;-2.0072;-0.1603;0.3294;-20.16;-4.2;-42.84;86.77;-6.96;-0.15;5.0;;;;NaN;;;;0 / 0;532529;2022-01-06 16:28:05:142
-1.529;1.802;13.49;-0.153;1.0253;9.7517;1.2771;-0.7862;-2.2751;-22.74;-0.96;-41.89;83.66;-5.31;2.8;5.0;;;;NaN;;;;0 / 0;533030;2022-01-06 16:28:05:643
0.009;2.4221;9.2291;0.4432;1.7434;9.6402;0.4397;-0.5279;2.593;-21.96;-5.89;-42.06;86.5;-9.65;-2.03;5.0;;;;NaN;;;;0 / 0;533529;2022-01-06 16:28:06:142
0.777;2.747;7.089;-0.5516;1.3112;9.7029;-1.3297;-1.3179;2.605;-22.26;-2.7;-42.19;85.99;-6.51;2.45;5.0;;;;NaN;;;;0 / 0;534029;2022-01-06 16:28:06:642
0.3821;2.307;6.489;0.0122;1.5344;9.6859;-0.2775;-0.9456;2.8102;-21.84;-3.96;-42.36;85.06;-9.37;0.03;5.0;;;;NaN;;;;0 / 0;534530;2022-01-06 16:28:07:143
1.254;2.391;6.7901;-0.2453;1.4901;9.6897;-1.4856;-0.7605;2.8857;-22.56;-4.09;-42.19;84.45;-8.74;1.45;5.0;;;;NaN;;;;0 / 0;535030;2022-01-06 16:28:07:643
1.0481;1.464;7.152;1.0542;1.5778;9.6213;-0.1989;0.3656;2.4161;-25.31;-4.39;-40.74;85.73;-10.31;-4.86;5.0;;;;NaN;;;;0 / 0;535529;2022-01-06 16:28:08:142
0.797;1.8161;6.5921;0.1377;1.2772;9.7221;-0.5967;-0.4924;2.1076;-24.36;-3.11;-40.01;83.31;-9.01;-4.16;5.0;;;;NaN;;;;0 / 0;536029;2022-01-06 16:28:08:642
2.12;2.0291;5.7371;0.3089;1.3996;9.7014;-1.8234;-0.6345;3.9704;-27.71;-0.06;-39.41;77.99;-8.2;-1.82;5.0;;;;NaN;;;;0 / 0;536529;2022-01-06 16:28:09:142
0.342;1.56;6.7571;0.3612;1.2576;9.719;0.334;-0.1044;2.9769;-37.56;-0.49;-37.56;80.78;-8.29;-3.4;5.0;;;;NaN;;;;0 / 0;537030;2022-01-06 16:28:09:643
1.1171;1.1651;4.839;0.7455;1.1031;9.7158;-0.3713;-0.0546;4.8806;-29.4;-5.94;-37.5;92.13;-7.32;-4.35;5.0;;;;NaN;;;;0 / 0;537530;2022-01-06 16:28:10:143
0.533;2.072;7.989;0.2175;0.7538;9.7752;1.5003;-1.3845;4.0076;-28.01;-5.4;-37.74;92.88;-5.34;-3.78;5.0;;;;NaN;;;;0 / 0;538030;2022-01-06 16:28:10:643
1.041;1.6751;5.285;0.3353;1.5674;9.6748;-0.7739;0.0403;4.1975;-27.9;-5.94;-37.86;87.94;-10.26;-1.31;5.0;;;;NaN;;;;0 / 0;538530;2022-01-06 16:28:11:143
0.15;1.943;5.081;0.455;1.3417;9.7038;1.2177;-0.388;4.1739;-28.09;-6.66;-37.99;92.14;-8.64;-3.59;5.0;;;;NaN;;;;0 / 0;539029;2022-01-06 16:28:11:642
1.172;1.3931;6.1661;0.8414;1.9188;9.5802;1.1724;0.5127;2.1888;-28.5;-7.99;-37.31;85.88;-12.77;-4.76;5.0;;;;NaN;;;;0 / 0;539529;2022-01-06 16:28:12:142
-0.433;1.254;6.695;0.2141;1.5659;9.6784;0.3766;1.0848;0.683;-27.66;-6.36;-38.34;86.77;-10.86;-2.5;5.0;;;;NaN;;;;0 / 0;540030;2022-01-06 16:28:12:643
0.9431;1.034;7.475;0.5629;1.8745;9.6094;-0.3783;0.8021;2.1553;-26.21;-5.16;-41.4;82.25;-11.02;-3.35;5.0;;;;NaN;;;;0 / 0;540529;2022-01-06 16:28:13:142
-1.438;1.2041;10.4501;0.1056;1.9537;9.6095;1.4293;0.235;1.3781;-26.21;-10.74;-41.51;95.27;-11.49;-0.63;5.0;;;;NaN;;;;0 / 0;541029;2022-01-06 16:28:13:642
-0.201;1.3541;8.226;0.3723;2.2591;9.5356;-0.8662;0.805;-1.5877;-27.71;-9.66;-39.24;89.75;-14.32;-1.35;5.0;;;;NaN;;;;0 / 0;541529;2022-01-06 16:28:14:142
-2.635;1.019;8.7821;0.0524;1.8347;9.6334;-0.3835;1.9709;-2.8293;-24.6;-6.96;-41.04;85.58;-12.1;-1.25;5.0;;;;NaN;;;;0 / 0;542030;2022-01-06 16:28:14:643
-0.179;1.493;8.8631;0.4954;1.8927;9.6095;0.4954;0.4898;-1.205;-26.64;-6.41;-39.71;84.71;-11.72;-1.57;5.0;;;;NaN;;;;0 / 0;542529;2022-01-06 16:28:15:142
-0.035;0.947;9.438;0.5245;2.0923;9.5665;-0.6332;1.4609;0.2796;-25.91;-8.16;-40.01;87.57;-12.32;-3.14;5.0;;;;NaN;;;;0 / 0;543030;2022-01-06 16:28:15:643
0.72;1.244;12.0731;0.5059;2.4021;9.4944;0.0582;0.2538;-4.6459;-27.36;-8.76;-39.06;87.32;-14.18;-3.05;5.0;;;;NaN;;;;0 / 0;543530;2022-01-06 16:28:16:143
-1.024;1.73;12.312;0.2891;1.91;9.6145;0.3685;0.9058;-1.3573;-25.61;-7.74;-40.09;89.71;-10.83;-3.44;5.0;;;;NaN;;;;0 / 0;544029;2022-01-06 16:28:16:642
1.055;0.806;14.282;0.509;2.1042;9.5647;-1.3161;0.1292;-1.6448;-29.76;-3.79;-38.16;82.75;-11.65;-0.31;5.0;;;;NaN;;;;0 / 0;544529;2022-01-06 16:28:17:142
-0.5621;1.271;13.796;0.3585;1.5579;9.6755;-0.6992;0.4939;-4.3675;-24.19;-4.86;-40.74;85.64;-9.14;-2.12;5.0;;;;NaN;;;;0 / 0;545030;2022-01-06 16:28:17:643
2.616;2.544;10.098;0.0662;1.4032;9.7055;-1.0669;-0.8635;-3.5483;-28.44;-3.84;-38.64;86.6;-8.23;-0.39;5.0;;;;NaN;;;;0 / 0;545530;2022-01-06 16:28:18:143
1.251;1.077;16.1111;0.454;1.6346;9.6588;-0.7181;0.7321;-3.9752;-26.21;-6.96;-38.46;91.2;-9.38;-2.94;5.0;;;;NaN;;;;0 / 0;546029;2022-01-06 16:28:18:642
1.692;2.135;13.662;-0.1143;2.2171;9.5521;-1.3674;0.065;-3.7959;-26.7;-5.76;-37.91;87.63;-10.93;1.64;5.0;;;;NaN;;;;0 / 0;546529;2022-01-06 16:28:19:142
0.6341;1.608;13.749;0.5617;1.8368;9.6167;-0.128;0.3835;-4.1534;-23.34;-6.9;-39.3;88.15;-10.8;-3.34;5.0;;;;NaN;;;;0 / 0;547030;2022-01-06 16:28:19:643
0.531;2.187;10.433;-0.312;1.5563;9.6773;-0.781;-0.4789;-1.3698;-23.89;-1.26;-40.26;78.3;-9.13;1.85;5.0;;;;NaN;;;;0 / 0;547529;2022-01-06 16:28:20:142
-0.9499;1.907;12.114;0.758;1.3215;9.6876;1.6367;-0.4847;-2.4306;-26.4;-4.26;-38.51;86.79;-7.38;-4.42;5.0;;;;NaN;;;;0 / 0;548029;2022-01-06 16:28:20:642
1.113;2.592;8.6531;-0.6028;1.5374;9.6666;-2.1127;-0.8988;0.1446;-28.69;-3.06;-37.5;87.38;-7.22;3.67;5.0;;;;NaN;;;;0 / 0;548530;2022-01-06 16:28:21:143
-0.5209;2.628;9.62;0.8168;1.3363;9.6808;1.4088;-1.1789;-2.2862;-26.34;-4.14;-39.66;83.99;-7.58;-5.1;5.0;;;;NaN;;;;0 / 0;549029;2022-01-06 16:28:21:642
0.809;2.046;5.589;-0.38;0.9732;9.7508;-1.4663;-1.7402;1.8331;-27.36;-3.6;-39.0;90.05;-5.77;1.39;5.0;;;;NaN;;;;0 / 0;549529;2022-01-06 16:28:22:142
1.055;1.917;7.152;1.121;1.2597;9.6606;0.0924;-0.4734;2.728;-27.24;-4.09;-39.06;86.96;-7.18;-5.76;5.0;;;;NaN;;;;0 / 0;550029;2022-01-06 16:28:22:642
1.215;2.106;7.025;-0.1063;0.9438;9.7606;-0.883;-0.6391;4.6671;-26.1;-1.91;-40.31;85.18;-6.02;0.14;5.0;;;;NaN;;;;0 / 0;550530;2022-01-06 16:28:23:143
-0.244;2.376;6.5051;0.5556;1.6223;9.6556;0.7536;-0.6949;3.1515;-24.6;-6.84;-40.44;90.15;-9.52;-3.29;5.0;;;;NaN;;;;0 / 0;551029;2022-01-06 16:28:23:642
0.507;1.821;7.271;-0.6449;1.3508;9.6917;-0.7811;-0.2836;1.0973;-24.36;-6.36;-40.99;91.13;-7.92;3.81;5.0;;;;NaN;;;;0 / 0;551529;2022-01-06 16:28:24:142
0.2411;1.5791;6.539;0.6381;1.4817;9.673;-0.0655;-0.0101;3.0518;-28.01;-5.34;-38.89;86.28;-9.47;-2.75;5.0;;;;NaN;;;;0 / 0;552029;2022-01-06 16:28:24:642
0.4331;1.5551;6.393;-0.2298;1.457;9.6951;-0.0664;0.1358;3.3752;-25.44;-8.1;-39.6;94.54;-10.14;-0.44;5.0;;;;NaN;;;;0 / 0;552529;2022-01-06 16:28:25:142
-0.651;1.6031;5.28;1.0012;1.1945;9.682;-0.0064;0.7473;4.3598;-26.94;-6.06;-39.9;91.94;-7.0;-5.9;5.0;;;;NaN;;;;0 / 0;553029;2022-01-06 16:28:25:642
-0.684;1.182;6.819;-0.7224;0.8326;9.7445;0.193;0.1193;3.0946;-26.16;-4.8;-40.44;91.08;-6.6;2.98;5.0;;;;NaN;;;;0 / 0;553529;2022-01-06 16:28:26:142
0.708;2.132;5.39;1.1591;1.1598;9.6686;0.192;-0.5427;3.4169;-28.2;-4.14;-39.3;85.88;-7.68;-6.96;5.0;;;;NaN;;;;0 / 0;554029;2022-01-06 16:28:26:642
-1.424;1.146;6.41;0.65;1.1241;9.7203;1.9774;-0.0805;3.3311;-27.71;-5.1;-38.94;88.41;-7.86;-4.88;5.0;;;;NaN;;;;0 / 0;554530;2022-01-06 16:28:27:143
0.083;1.002;6.4721;0.8213;1.401;9.6712;0.8736;0.307;1.3213;-28.31;-6.54;-38.94;92.42;-8.21;-4.85;5.0;;;;NaN;;;;0 / 0;555029;2022-01-06 16:28:27:642
-1.139;0.8471;9.5501;0.1233;1.5381;9.6845;1.1575;0.6302;0.1472;-27.6;-7.69;-39.71;93.27;-9.02;-0.73;5.0;;;;NaN;;;;0 / 0;555530;2022-01-06 16:28:28:143
0.6;0.402;9.801;0.6522;1.3795;9.6872;0.0736;0.9351;-0.1003;-27.6;-4.44;-40.14;85.66;-8.09;-3.85;5.0;;;;NaN;;;;0 / 0;556030;2022-01-06 16:28:28:643
-1.728;0.8921;11.142;0.0377;0.9613;9.7594;1.4632;0.2256;-2.5157;-23.94;-6.66;-41.89;87.03;-6.76;-2.63;5.0;;;;NaN;;;;0 / 0;556529;2022-01-06 16:28:29:142
1.062;1.125;10.515;0.6545;1.7728;9.6229;-0.3013;0.5673;-0.8829;-28.31;-7.01;-39.11;88.88;-10.41;-3.89;5.0;;;;NaN;;;;0 / 0;557029;2022-01-06 16:28:29:642
-1.1051;0.584;12.063;0.3998;1.6896;9.6517;0.5101;1.295;-3.0795;-25.2;-11.29;-39.54;98.61;-10.31;-3.52;5.0;;;;NaN;;;;0 / 0;557530;2022-01-06 16:28:30:143
2.159;-0.469;12.6071;0.4294;1.6637;9.655;-0.7763;1.4176;-7.6799;-27.49;-4.44;-40.44;82.23;-10.58;-1.49;5.0;;;;NaN;;;;0 / 0;558030;2022-01-06 16:28:30:643
-1.1681;1.0571;10.199;0.6757;1.6046;9.6509;3.7811;-1.5689;0.5525;-25.44;-11.16;-39.41;102.57;-8.68;-6.08;5.0;;;;NaN;;;;0 / 0;558529;2022-01-06 16:28:31:142
1.103;0.3941;15.762;0.5549;1.3256;9.7008;-1.2498;0.8238;-4.5833;-27.41;-1.69;-40.39;80.69;-7.56;-1.79;5.0;;;;NaN;;;;0 / 0;559030;2022-01-06 16:28:31:643
-0.213;-0.0139;12.87;0.461;1.4745;9.6842;0.7344;1.9714;-3.4273;-26.94;-5.7;-40.39;88.52;-9.13;-3.08;5.0;;;;NaN;;;;0 / 0;559529;2022-01-06 16:28:32:142
0.6701;0.8801;12.9971;0.1421;1.5202;9.6871;-0.4506;0.6397;-3.3068;-24.6;-0.66;-43.09;78.49;-8.38;0.84;5.0;;;;NaN;;;;0 / 0;560029;2022-01-06 16:28:32:642
-1.3849;1.278;13.6361;0.1096;1.8079;9.6379;-0.2445;1.9577;-3.4784;-25.31;-2.64;-41.46;80.95;-9.56;-0.71;5.0;;;;NaN;;;;0 / 0;560529;2022-01-06 16:28:33:142
2.34;1.443;15.501;0.0889;1.8934;9.6217;-2.4445;0.2453;-5.4288;-25.5;-2.29;-41.76;76.41;-11.13;-0.53;5.0;;;;NaN;;;;0 / 0;561030;2022-01-06 16:28:33:643
-0.287;1.524;12.7601;0.2064;1.8941;9.6198;0.607;0.1389;-2.2069;-24.06;-9.54;-40.5;97.23;-9.85;-1.9;5.0;;;;NaN;;;;0 / 0;561529;2022-01-06 16:28:34:142
1.3301;1.409;14.646;-0.4794;1.6009;9.6632;-2.0037;-0.1488;-2.5889;-25.2;-3.24;-41.16;82.57;-9.4;2.84;5.0;;;;NaN;;;;0 / 0;562029;2022-01-06 16:28:34:642
0.021;1.6061;13.236;0.585;1.5424;9.6669;0.5077;-0.9688;-1.0788;-25.99;-4.74;-41.4;91.14;-6.06;-4.03;5.0;;;;NaN;;;;0 / 0;562529;2022-01-06 16:28:35:142
0.9281;1.175;12.2381;-0.2347;0.994;9.7533;-0.893;-0.9183;0.1394;-25.26;-2.29;-41.59;85.15;-5.82;1.38;5.0;;;;NaN;;;;0 / 0;563029;2022-01-06 16:28:35:642
-0.09;2.06;8.205;0.1823;1.1001;9.743;0.2584;-0.862;1.5326;-25.31;-3.36;-41.94;85.79;-6.44;-1.07;5.0;;;;NaN;;;;0 / 0;563529;2022-01-06 16:28:36:142
1.4741;2.369;8.463;-0.4986;0.9057;9.752;-1.9015;-1.4506;2.1927;-25.61;-1.31;-41.51;86.7;-3.7;3.0;5.0;;;;NaN;;;;0 / 0;564030;2022-01-06 16:28:36:643
-0.21;1.6271;5.816;0.7032;1.0504;9.7248;0.6225;-0.3029;4.5218;-25.56;-4.8;-41.81;90.64;-6.17;-4.46;5.0;;;;NaN;;;;0 / 0;564530;2022-01-06 16:28:37:143
0.8591;1.692;6.077;-0.6555;1.0122;9.7322;-1.534;-0.6637;3.6548;-24.0;-4.56;-42.71;92.85;-6.51;2.65;5.0;;;;NaN;;;;0 / 0;565029;2022-01-06 16:28:37:642
-1.577;1.541;4.466;-0.5906;0.3704;9.7818;0.8902;-1.0081;4.3102;-17.51;-5.81;-44.46;99.99;-3.43;1.61;5.0;;;;NaN;;;;0 / 0;565529;2022-01-06 16:28:38:142
0.8681;0.768;7.0661;-1.0665;0.2744;9.7446;-1.6113;-0.0116;2.1308;-25.14;-5.89;-41.34;97.41;-3.12;8.06;5.0;;;;NaN;;;;0 / 0;566029;2022-01-06 16:28:38:642
0.404;1.304;7.398;0.1356;1.1919;9.733;-0.2413;-0.1874;2.347;-24.79;-9.0;-40.5;99.36;-6.98;-0.8;5.0;;;;NaN;;;;0 / 0;566529;2022-01-06 16:28:39:142
0.8591;0.483;9.995;-0.478;0.558;9.7791;-1.5948;-0.0686;-0.4362;-22.99;-5.76;-41.7;98.34;-3.26;2.8;5.0;;;;NaN;;;;0 / 0;567029;2022-01-06 16:28:39:642
0.782;1.1681;9.32;0.3335;1.0347;9.7462;-2.9176;-0.6478;0.8743;-23.4;-9.71;-41.81;101.81;-7.16;-1.14;5.0;;;;NaN;;;;0 / 0;567529;2022-01-06 16:28:40:142
0.308;0.756;10.01;-0.235;1.6457;9.6647;-0.4889;1.0201;1.657;-23.04;-9.36;-40.86;93.22;-10.61;-0.17;5.0;;;;NaN;;;;0 / 0;568030;2022-01-06 16:28:40:643
1.316;0.2561;7.178;0.298;1.767;9.6415;0.4659;2.8236;-0.6634;-25.86;-10.44;-39.84;95.74;-10.38;-1.77;5.0;;;;NaN;;;;0 / 0;568529;2022-01-06 16:28:41:142
-1.6301;2.2451;7.5851;0.093;1.9997;9.6002;0.2615;-1.1256;2.2741;-23.34;-11.34;-40.86;95.97;-11.77;-0.55;5.0;;;;NaN;;;;0 / 0;569029;2022-01-06 16:28:41:642
-1.2611;2.807;15.759;-0.1367;2.6834;9.4314;-0.5279;-0.2714;-4.0297;-23.76;-18.36;-37.61;105.94;-15.88;0.83;5.0;;;;NaN;;;;0 / 0;569529;2022-01-06 16:28:42:142
-2.2159;4.131;13.485;-0.5931;4.1041;8.8868;0.9688;-2.5938;0.7819;-21.36;-21.24;-37.56;100.12;-24.06;1.85;5.0;;;;NaN;;;;0 / 0;570029;2022-01-06 16:28:42:642
3.705;5.148;9.806;-0.248;4.1548;8.8796;-2.3455;-1.2797;-0.3142;-26.94;-15.96;-36.06;89.73;-24.94;2.62;5.0;;;;NaN;;;;0 / 0;570530;2022-01-06 16:28:43:143
0.99;5.72;10.476;-0.1401;3.8652;9.0117;-0.2082;-2.1005;-0.291;-22.99;-17.21;-38.1;90.96;-23.26;-1.58;5.0;;;;NaN;;;;0 / 0;571029;2022-01-06 16:28:43:642
-1.9811;2.597;16.25;-0.691;2.8867;9.3467;-0.7315;-1.3452;-2.5959;-23.89;-10.69;-39.49;92.78;-15.87;5.92;5.0;;;;NaN;;;;0 / 0;571529;2022-01-06 16:28:44:142
